study_id,total_pixels_analyzed,slices_counted,class_0_pixels,class_1_pixels,class_2_pixels,class_3_pixels,class_4_pixels,class_5_pixels,class_6_pixels,class_7_pixels,class_8_pixels
1.2.826.0.1.3680043.10633,112459776,429,109210571,261125,330444,227888,236164,256989,276888,328346,1331361
1.2.826.0.1.3680043.10921,88866816,339,87115989,163892,192646,125614,131848,123265,155616,172836,685110
1.2.826.0.1.3680043.11827,54525952,208,53769244,55847,81962,52234,53859,57831,59345,77224,318406
1.2.826.0.1.3680043.11988,56885248,217,54901110,219542,245816,156143,164423,184393,219482,261470,532869
1.2.826.0.1.3680043.12281,86769664,331,81629028,533586,635328,437795,440633,461734,499306,654108,1478146
1.2.826.0.1.3680043.12292,89391104,341,87199422,217915,292418,225838,238887,266902,303352,316685,329685
1.2.826.0.1.3680043.12833,68419584,261,67295078,92246,119825,74071,68887,72813,79022,109214,508428
1.2.826.0.1.3680043.14267,123994112,473,121509639,210093,292568,199084,180216,193103,226091,291699,891619
1.2.826.0.1.3680043.1480,118226944,451,115665600,232077,325665,230971,256109,273672,305990,381907,554953
1.2.826.0.1.3680043.15206,87556096,334,85164237,218648,266129,158858,169969,187310,218460,246717,925768
1.2.826.0.1.3680043.1542,112197632,428,109388560,309596,373624,239824,226680,242774,275675,360657,780242
1.2.826.0.1.3680043.1573,74973184,286,72649222,234040,279190,176403,178864,188016,202020,266499,798930
1.2.826.0.1.3680043.16092,86245376,329,83724616,209198,267590,185410,201744,195772,226126,288210,946710
1.2.826.0.1.3680043.16919,107216896,409,104831947,191279,268638,175787,162823,165190,189721,278694,952817
1.2.826.0.1.3680043.17481,106692608,407,103824881,224719,311717,204567,208099,247083,276099,351526,1043917
1.2.826.0.1.3680043.17960,71041024,271,69343058,143290,170606,130136,123524,135215,142197,172468,680530
1.2.826.0.1.3680043.18480,121110528,462,119171951,201744,269297,157543,159625,171640,210580,263717,504431
1.2.826.0.1.3680043.1868,171180032,653,161081359,948188,1158180,723680,735445,804636,915168,988400,3824976
1.2.826.0.1.3680043.18906,92012544,351,90372437,221125,229342,156909,139296,160953,172320,240547,319615
1.2.826.0.1.3680043.18935,85196800,325,82262093,263380,352400,233187,249820,244934,287530,364476,938980
1.2.826.0.1.3680043.18968,107741184,411,105061263,229878,301216,210702,225208,254352,269800,329778,858987
1.2.826.0.1.3680043.19021,103546880,395,101974708,145117,169152,118367,114502,117634,137853,162301,607246
1.2.826.0.1.3680043.19333,53739520,205,52992989,68598,91149,63790,63707,68355,82059,106748,202125
1.2.826.0.1.3680043.19388,128974848,492,126396971,232282,285171,220967,196849,217257,265488,328564,831299
1.2.826.0.1.3680043.20647,68943872,263,66169061,265420,335024,245556,230627,269328,300490,384324,744042
1.2.826.0.1.3680043.20928,65011712,248,62607532,241018,312728,237026,242423,252523,267842,360596,490024
1.2.826.0.1.3680043.21321,176422912,673,168891038,556976,721296,544820,622622,638628,675396,774000,2998136
1.2.826.0.1.3680043.21651,133693440,510,131751070,160867,216915,153639,142809,148192,165136,203250,751562
1.2.826.0.1.3680043.24140,62652416,239,60135065,251626,301847,168613,182124,186262,194793,235637,996449
1.2.826.0.1.3680043.24617,153616384,586,148726686,451832,480249,328831,314548,327517,352885,420283,2213553
1.2.826.0.1.3680043.24891,47185920,180,46256263,83801,111755,70699,66676,71095,76059,97482,352090
1.2.826.0.1.3680043.25704,67371008,257,67034603,34952,40867,29754,28912,28346,34804,42904,95866
1.2.826.0.1.3680043.25833,88342528,337,86982357,114642,153324,105052,105705,99895,114027,141456,526070
1.2.826.0.1.3680043.26068,163315712,623,158568544,415317,537970,347337,349108,346490,394023,507932,1848991
1.2.826.0.1.3680043.26110,112721920,430,112185316,39554,50727,38341,35752,38632,41906,60805,230887
1.2.826.0.1.3680043.26442,96731136,369,94754577,202486,247372,167125,162222,174882,185974,220214,616284
1.2.826.0.1.3680043.26492,74973184,286,73331966,163482,212870,126970,145704,154038,173958,210088,454108
1.2.826.0.1.3680043.26498,95158272,363,93067227,128234,172652,143266,130338,200536,149559,224198,942262
1.2.826.0.1.3680043.26740,74973184,286,71293626,390918,471674,316186,312446,348796,349674,440878,1048986
1.2.826.0.1.3680043.26898,155451392,593,153117943,215538,275739,195284,206509,218008,243103,293539,685729
1.2.826.0.1.3680043.26979,78118912,298,75396926,219048,317082,220744,210322,239488,254272,277744,983286
1.2.826.0.1.3680043.26990,63438848,242,61480718,135106,180344,120818,143234,177255,208339,266050,726984
1.2.826.0.1.3680043.27016,74711040,285,72201243,245100,318210,226051,226162,230932,258648,345020,659674
1.2.826.0.1.3680043.27292,73400320,280,70573680,303452,361756,210338,223770,229800,249908,327066,920550
1.2.826.0.1.3680043.27752,141819904,541,137614635,402474,473979,293927,281793,306345,344834,416023,1685894
1.2.826.0.1.3680043.28025,126091264,481,123722735,231023,283585,167769,177051,177666,188433,229541,913461
1.2.826.0.1.3680043.28327,75235328,287,70746811,311346,417430,317500,325408,410409,380814,546760,1778850
1.2.826.0.1.3680043.28665,57147392,218,56035935,126506,148281,100669,87389,93848,105637,123396,325731
1.2.826.0.1.3680043.29425,77594624,296,76788134,94854,111354,74146,76198,77288,91628,109588,171434
1.2.826.0.1.3680043.30067,60030976,229,58843755,102417,135192,86072,94624,101481,104036,129831,433568
1.2.826.0.1.3680043.30487,91226112,348,89919996,109238,146676,97604,95774,94054,105620,128464,528686
1.2.826.0.1.3680043.30524,62914560,240,61712833,93726,129867,93995,95680,92287,99178,131818,465176
1.2.826.0.1.3680043.30565,59506688,227,56828051,241151,276025,187190,191778,196883,238872,289420,1057318
1.2.826.0.1.3680043.30640,62390272,238,59451852,263254,362738,258794,255863,274641,314594,357132,851404
1.2.826.0.1.3680043.31077,176160768,672,172319469,371487,442201,317670,313329,310216,328226,400368,1357802
1.2.826.0.1.3680043.3168,39845888,152,38912807,112356,146090,97528,93731,100366,109720,152686,120604
1.2.826.0.1.3680043.32280,73138176,279,70646856,336398,379016,252475,244407,240926,258186,309118,470794
1.2.826.0.1.3680043.32370,68681728,262,66634361,186844,246178,149506,161999,171718,190476,228195,712451
1.2.826.0.1.3680043.32434,91226112,348,90206910,78190,99087,69274,68351,71866,78075,102412,451947
1.2.826.0.1.3680043.32436,71041024,271,68784409,176014,242320,162088,162249,152925,181748,245003,934268
1.2.826.0.1.3680043.32590,70516736,269,67986613,218100,279960,194697,223654,234962,248118,322020,808612
1.2.826.0.1.3680043.32658,87556096,334,83280554,350255,443956,272025,292749,343262,382088,507583,1683624
1.2.826.0.1.3680043.3376,171180032,653,167469097,254743,359548,254179,274254,323107,327643,386500,1530961
1.2.826.0.1.3680043.3882,63176704,241,62445349,71680,84988,53301,52968,57556,57795,84928,268139
1.2.826.0.1.3680043.3992,66060288,252,64813378,144100,188496,124106,118660,126908,139260,188980,216400
1.2.826.0.1.3680043.4202,71565312,273,68369580,237056,337482,204792,206114,224755,254225,365588,1365720
1.2.826.0.1.3680043.4769,68943872,263,66959311,175373,233610,162265,165777,181527,189765,229610,646634
1.2.826.0.1.3680043.5002,104595456,399,102819824,191694,224562,155760,143726,170026,162468,236856,490540
1.2.826.0.1.3680043.5671,113508352,433,109197656,438889,539547,333597,326079,325639,372034,412099,1562812
1.2.826.0.1.3680043.5782,149159936,569,145472292,341596,449404,317527,291950,322338,383192,440174,1141463
1.2.826.0.1.3680043.5783,157548544,601,154301738,251836,367231,268273,265413,307558,327328,366843,1092324
1.2.826.0.1.3680043.6078,66060288,252,62488558,375128,432464,252208,243420,265428,323738,457388,1221956
1.2.826.0.1.3680043.6125,46399488,177,45453678,114456,139041,95477,86496,115579,97686,136621,160454
1.2.826.0.1.3680043.6376,73662464,281,71737788,171144,215768,137612,145009,157607,173116,224664,699756
1.2.826.0.1.3680043.780,51118080,195,49905610,154713,177740,112717,115081,123901,135601,176383,216334
1.2.826.0.1.3680043.8024,71565312,273,70578190,118152,127170,82334,83114,91010,101276,115990,268076
1.2.826.0.1.3680043.8330,93585408,357,89387351,413628,507410,291963,329418,345024,413924,556142,1340548
1.2.826.0.1.3680043.8574,63176704,241,62213118,88729,99844,65387,68584,72319,79977,104682,384064
1.2.826.0.1.3680043.8744,42991616,164,41131618,200006,244131,164955,167291,168692,199312,209308,506303
1.2.826.0.1.3680043.8884,79429632,303,77471136,167900,233450,153595,141574,153615,193186,268071,647105
1.2.826.0.1.3680043.9926,44564480,170,43338951,129489,170993,116286,104481,128618,127907,173732,274023
