study_id,dim_0,dim_1,dim_2,spacing_0,spacing_1,spacing_2,voxel_volume_mm3,in_training_images
1.2.826.0.1.3680043.10633,512,512,429,0.28515625,0.28515625,0.5,0.04065704345703125,True
1.2.826.0.1.3680043.10921,512,512,339,0.3320310115814209,0.3320310115814209,0.625,0.06890287040736354,True
1.2.826.0.1.3680043.11827,512,512,208,0.51171875,0.51171875,1.0,0.2618560791015625,True
1.2.826.0.1.3680043.11988,512,512,217,0.291015625,0.291015625,1.0,0.08469009399414062,True
1.2.826.0.1.3680043.12281,512,512,331,0.234375,0.234375,0.625,0.034332275390625,True
1.2.826.0.1.3680043.12292,512,512,341,0.380859375,0.380859375,0.5,0.07252693176269531,True
1.2.826.0.1.3680043.12833,512,512,261,0.3496094048023224,0.3496094048023224,1.0,0.12222673592623412,True
1.2.826.0.1.3680043.14267,512,512,473,0.35546875,0.35546875,0.4000000059604645,0.05054321364377756,True
1.2.826.0.1.3680043.1480,512,512,451,0.40234375,0.40234375,0.4000000059604645,0.06475219823050793,True
1.2.826.0.1.3680043.15206,512,512,334,0.3046875,0.3046875,0.699999988079071,0.06498412975270185,True
1.2.826.0.1.3680043.1542,512,512,428,0.306640625,0.306640625,0.4000000059604645,0.03761138972060962,True
1.2.826.0.1.3680043.1573,512,512,286,0.3269999921321869,0.3269999921321869,0.800000011920929,0.08554319715825318,True
1.2.826.0.1.3680043.16092,512,512,329,0.359375,0.359375,0.625,0.080718994140625,True
1.2.826.0.1.3680043.16919,512,512,409,0.298828125,0.298828125,0.5,0.04464912414550781,True
1.2.826.0.1.3680043.17481,512,512,407,0.28125,0.28125,0.5,0.03955078125,True
1.2.826.0.1.3680043.17960,512,512,271,0.3515619933605194,0.3515619933605194,0.625,0.07724739698476368,True
1.2.826.0.1.3680043.18480,512,512,462,0.33203125,0.33203125,0.4000000059604645,0.04409790104773492,True
1.2.826.0.1.3680043.1868,512,512,653,0.20507800579071045,0.20507800579071045,0.3125,0.013142808893467084,True
1.2.826.0.1.3680043.18906,512,512,351,0.2753905951976776,0.2753905951976776,0.699999988079071,0.053087985042248785,True
1.2.826.0.1.3680043.18935,512,512,325,0.28320300579071045,0.28320300579071045,0.625,0.050127464055558235,True
1.2.826.0.1.3680043.18968,512,512,411,0.30664101243019104,0.30664101243019104,0.625,0.05876794406513286,True
1.2.826.0.1.3680043.19021,512,512,395,0.466796875,0.466796875,0.5,0.10894966125488281,True
1.2.826.0.1.3680043.19333,512,512,205,0.4296875,0.4296875,1.0,0.18463134765625,True
1.2.826.0.1.3680043.19388,512,512,492,0.376953125,0.376953125,0.4000000059604645,0.056837464225850454,True
1.2.826.0.1.3680043.20647,512,512,263,0.2539060115814209,0.2539060115814209,0.625,0.0402926641982404,True
1.2.826.0.1.3680043.20928,512,512,248,0.3070000112056732,0.3070000112056732,0.800000011920929,0.0753992066277625,True
1.2.826.0.1.3680043.21321,512,512,673,0.296875,0.296875,0.3125,0.0275421142578125,True
1.2.826.0.1.3680043.21651,512,512,510,0.43554699420928955,0.43554699420928955,0.49999988079071045,0.09485056946823006,True
1.2.826.0.1.3680043.24140,512,512,239,0.27300000190734863,0.27300000190734863,0.800000011920929,0.05962320172158481,True
1.2.826.0.1.3680043.24617,512,512,586,0.31200000643730164,0.31200000643730164,0.4000000059604645,0.038937602186965986,True
1.2.826.0.1.3680043.24891,512,512,180,0.3515625,0.3515625,1.0,0.12359619140625,True
1.2.826.0.1.3680043.25704,512,512,257,0.625,0.625,0.625,0.244140625,True
1.2.826.0.1.3680043.25833,512,512,337,0.4453119933605194,0.4453119933605194,0.625,0.12393923214419955,True
1.2.826.0.1.3680043.26068,512,512,623,0.3240000009536743,0.3240000009536743,0.4000000059604645,0.041990400872898105,True
1.2.826.0.1.3680043.26110,512,512,430,0.630859375,0.630859375,0.699999988079071,0.2785884809734398,True
1.2.826.0.1.3680043.26442,512,512,369,0.3320310115814209,0.3320310115814209,0.625,0.06890287040736354,True
1.2.826.0.1.3680043.26492,512,512,286,0.3320310115814209,0.3320310115814209,0.625,0.06890287040736354,True
1.2.826.0.1.3680043.26498,512,512,363,0.4296880066394806,0.4296880066394806,0.625,0.11539486440613145,True
1.2.826.0.1.3680043.26740,512,512,286,0.2539060115814209,0.2539060115814209,0.625,0.0402926641982404,True
1.2.826.0.1.3680043.26898,512,512,593,0.4453125,0.4453125,0.4000000059604645,0.07932129024447931,True
1.2.826.0.1.3680043.26979,512,512,298,0.29492199420928955,0.29492199420928955,0.625,0.05436186416774014,True
1.2.826.0.1.3680043.26990,512,512,242,0.31054699420928955,0.31054699420928955,0.625,0.060274647257765324,True
1.2.826.0.1.3680043.27016,512,512,285,0.31445300579071045,0.31445300579071045,0.625,0.06180043303175786,True
1.2.826.0.1.3680043.27292,512,512,280,0.2539060115814209,0.2539060115814209,0.625,0.0402926641982404,True
1.2.826.0.1.3680043.27752,512,512,541,0.2630000114440918,0.2630000114440918,0.4000000059604645,0.02766760282011637,True
1.2.826.0.1.3680043.28025,512,512,481,0.34765625,0.34765625,0.4000000059604645,0.04834594798603575,True
1.2.826.0.1.3680043.28327,512,512,287,0.2539060115814209,0.2539060115814209,0.625,0.0402926641982404,True
1.2.826.0.1.3680043.28665,512,512,218,0.3515625,0.3515625,1.0,0.12359619140625,True
1.2.826.0.1.3680043.29425,512,512,296,0.44726601243019104,0.44726601243019104,0.625,0.12502930367200238,True
1.2.826.0.1.3680043.30067,512,512,229,0.337890625,0.337890625,1.0,0.11417007446289062,True
1.2.826.0.1.3680043.30487,512,512,348,0.3320310115814209,0.3320310115814209,0.625,0.06890287040736354,True
1.2.826.0.1.3680043.30524,512,512,240,0.341796875,0.341796875,1.0,0.11682510375976562,True
1.2.826.0.1.3680043.30565,512,512,227,0.255859375,0.255859375,1.0,0.06546401977539062,True
1.2.826.0.1.3680043.30640,512,512,238,0.3007810115814209,0.3007810115814209,0.625,0.05654326057996428,True
1.2.826.0.1.3680043.31077,512,512,672,0.388671875,0.388671875,0.4000000059604645,0.06042633146682874,True
1.2.826.0.1.3680043.3168,512,512,152,0.34765625,0.34765625,1.0,0.1208648681640625,True
1.2.826.0.1.3680043.32280,512,512,279,0.2734380066394806,0.2734380066394806,0.625,0.046730214671857895,True
1.2.826.0.1.3680043.32370,512,512,262,0.33399999141693115,0.33399999141693115,0.800000011920929,0.08924479674305914,True
1.2.826.0.1.3680043.32434,512,512,348,0.48500001430511475,0.48500001430511475,0.800000011920929,0.18818001390486988,True
1.2.826.0.1.3680043.32436,512,512,271,0.3320310115814209,0.3320310115814209,0.625,0.06890287040736354,True
1.2.826.0.1.3680043.32590,512,512,269,0.3320310115814209,0.3320310115814209,0.625,0.06890287040736354,True
1.2.826.0.1.3680043.32658,512,512,334,0.2890625,0.2890625,0.5,0.041778564453125,True
1.2.826.0.1.3680043.3376,512,512,653,0.40400001406669617,0.40400001406669617,0.4000000059604645,0.06528640551919952,True
1.2.826.0.1.3680043.3882,512,512,241,0.4980469048023224,0.4980469048023224,0.8999999761581421,0.2232456415308662,True
1.2.826.0.1.3680043.3992,512,512,252,0.3320310115814209,0.3320310115814209,0.625,0.06890287040736354,True
1.2.826.0.1.3680043.4202,512,512,273,0.2879999876022339,0.2879999876022339,0.800000011920929,0.06635519527587895,True
1.2.826.0.1.3680043.4769,512,512,263,0.3440000116825104,0.3440000116825104,0.800000011920929,0.09466880784072897,True
1.2.826.0.1.3680043.5002,512,512,399,0.390625,0.390625,0.5,0.0762939453125,True
1.2.826.0.1.3680043.5671,512,512,433,0.29296875,0.29296875,0.5,0.04291534423828125,True
1.2.826.0.1.3680043.5782,512,512,569,0.337890625,0.337890625,0.4000000059604645,0.04566803046566292,True
1.2.826.0.1.3680043.5783,512,512,601,0.40039101243019104,0.40039101243019104,0.3125016689300537,0.05009806843701961,True
1.2.826.0.1.3680043.6078,512,512,252,0.2539060115814209,0.2539060115814209,0.625,0.0402926641982404,True
1.2.826.0.1.3680043.6125,512,512,177,0.330078125,0.330078125,1.0,0.10895156860351562,True
1.2.826.0.1.3680043.6376,512,512,281,0.3125,0.3125,0.625,0.06103515625,True
1.2.826.0.1.3680043.780,512,512,195,0.298828125,0.298828125,1.0,0.08929824829101562,True
1.2.826.0.1.3680043.8024,512,512,273,0.5019530057907104,0.5019530057907104,0.625,0.15747301251395562,True
1.2.826.0.1.3680043.8330,512,512,357,0.26367199420928955,0.26367199420928955,0.625,0.043451825331439764,True
1.2.826.0.1.3680043.8574,512,512,241,0.3671875,0.3671875,1.0,0.13482666015625,True
1.2.826.0.1.3680043.8744,512,512,164,0.25390625,0.25390625,1.0,0.0644683837890625,True
1.2.826.0.1.3680043.8884,512,512,303,0.3105469048023224,0.3105469048023224,0.699999988079071,0.06750756490796488,True
1.2.826.0.1.3680043.9926,512,512,170,0.3515625,0.3515625,1.0,0.12359619140625,True
